iShares Core S&P Small-Cap ETF,,,,,,,,,,,
Inception Date,"May 22, 2000",,,,,,,,,,
Fund Holdings as of,"Jul 31, 2017",,,,,,,,,,
Total Net Assets,"31,350,687,196.22",,,,,,,,,,
Shares Outstanding,"442,450,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
MKSI,MKS INSTRUMENTS INC,Equity,0.63,83.65,2346155.00,"196,255,865.75","196,255,865.75",Information Technology,2404871,US55306N1046,NASDAQ
HCSG,HEALTHCARE SERVICES INC,Equity,0.53,52.25,3158789.00,"165,046,725.25","165,046,725.25",Industrials,2417619,US4219061086,NASDAQ
ALE,ALLETE INC,Equity,0.52,73.27,2208109.00,"161,788,146.43","161,788,146.43",Utilities,B02R1L6,US0185223007,New York Stock Exchange Inc.
COR,CORESITE REALTY REIT CORP,Equity,0.51,108.58,1484767.00,"161,216,000.86","161,216,000.86",Real Estate,B3T3VV8,US21870Q1058,New York Stock Exchange Inc.
BCO,BRINKS,Equity,0.49,78.15,1963614.00,"153,456,434.10","153,456,434.10",Industrials,2691305,US1096961040,New York Stock Exchange Inc.
SR,SPIRE INC,Equity,0.48,72.6,2096805.00,"152,228,043.00","152,228,043.00",Utilities,BYXJQG9,US84857L1017,New York Stock Exchange Inc.
LITE,LUMENTUM HOLDINGS INC,Equity,0.48,62.6,2400925.00,"150,297,905.00","150,297,905.00",Information Technology,BYM9ZP2,US55024U1097,NASDAQ
NKTR,NEKTAR THERAPEUTICS,Equity,0.47,21.83,6692623.00,"146,099,960.09","146,099,960.09",Health Care,2454445,US6402681083,NASDAQ
AVA,AVISTA CORP,Equity,0.47,52.61,2774653.00,"145,974,494.33","145,974,494.33",Utilities,2942605,US05379B1070,New York Stock Exchange Inc.
PRA,PROASSURANCE CORP,Equity,0.46,61.8,2324598.00,"143,660,156.40","143,660,156.40",Financials,2612737,US74267C1062,New York Stock Exchange Inc.
EVR,EVERCORE PARTNERS A INC,Equity,0.45,78.65,1783405.00,"140,264,803.25","140,264,803.25",Financials,B1BHXZ2,US29977A1051,New York Stock Exchange Inc.
CHE,CHEMED CORP,Equity,0.44,197.5,698690.00,"137,991,275.00","137,991,275.00",Health Care,2190084,US16359R1032,New York Stock Exchange Inc.
STL,STERLING BAN,Equity,0.43,23.1,5895999.00,"136,197,576.90","136,197,576.90",Financials,BFNXVB8,US85917A1007,New York Stock Exchange Inc.
CACI,CACI INTERNATIONAL INC CLASS A,Equity,0.42,125.1,1062920.00,"132,971,292.00","132,971,292.00",Information Technology,2159267,US1271903049,New York Stock Exchange Inc.
IART,INTEGRA LIFESCIENCES HOLDINGS CORP,Equity,0.42,49.66,2625473.00,"130,380,989.18","130,380,989.18",Health Care,2248693,US4579852082,NASDAQ
B,BARNES GROUP INC,Equity,0.41,60.18,2153988.00,"129,626,997.84","129,626,997.84",Industrials,2080732,US0678061096,New York Stock Exchange Inc.
SIGI,SELECTIVE INSURANCE GROUP INC,Equity,0.41,50.65,2533500.00,"128,321,775.00","128,321,775.00",Financials,2766173,US8163001071,NASDAQ
EGP,EASTGROUP PROPERTIES REIT INC,Equity,0.41,87.18,1471267.00,"128,265,057.06","128,265,057.06",Real Estate,2455761,US2772761019,New York Stock Exchange Inc.
JBT,JOHN BEAN TECHNOLOGIES CORP,Equity,0.4,92.4,1370311.00,"126,616,736.40","126,616,736.40",Industrials,B3BRJZ8,US4778391049,New York Stock Exchange Inc.
AEIS,ADVANCED ENERGY INDUSTRIES INC,Equity,0.4,72.55,1722705.00,"124,982,247.75","124,982,247.75",Information Technology,2049175,US0079731008,NASDAQ
IRBT,IROBOT CORP,Equity,0.4,105.51,1183639.00,"124,885,750.89","124,885,750.89",Consumer Discretionary,B0J2NS5,US4627261005,NASDAQ
FFIN,FIRST FINANCIAL BANKSHARES INC,Equity,0.4,43.25,2878118.00,"124,478,603.50","124,478,603.50",Financials,2266026,US32020R1095,NASDAQ
VAC,MARRIOTT VACATIONS WORLDWIDE CORP,Equity,0.39,116.85,1060392.00,"123,906,805.20","123,906,805.20",Consumer Discretionary,B45K9N8,US57164Y1073,New York Stock Exchange Inc.
ILG,ILG INC,Equity,0.39,26.51,4602852.00,"122,021,606.52","122,021,606.52",Consumer Discretionary,BYT3YH2,US44967H1014,NASDAQ
FCFS,FIRSTCASH INC,Equity,0.39,58.15,2096193.00,"121,893,622.95","121,893,622.95",Financials,BZCG9B4,US33767D1054,New York Stock Exchange Inc.
MDCO,MEDICINES,Equity,0.38,38.45,3131794.00,"120,417,479.30","120,417,479.30",Health Care,2616773,US5846881051,NASDAQ
WWW,WOLVERINE WORLD WIDE INC,Equity,0.38,28.2,4205633.00,"118,598,850.60","118,598,850.60",Consumer Discretionary,2977500,US9780971035,New York Stock Exchange Inc.
