iShares Core S&P Small-Cap ETF,,,,,,,,,,,
Inception Date,"May 22, 2000",,,,,,,,,,
Fund Holdings as of,"Jun 30, 2017",,,,,,,,,,
Total Net Assets,"30,381,935,602.17",,,,,,,,,,
Shares Outstanding,"432,850,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
MKSI,MKS INSTRUMENTS INC,Equity,0.51,67.3,2298958.00,"154,719,873.40","154,719,873.40",Information Technology,2404871,US55306N1046,NASDAQ
ALE,ALLETE INC,Equity,0.51,71.68,2155116.00,"154,478,714.88","154,478,714.88",Utilities,B02R1L6,US0185223007,New York Stock Exchange Inc.
COR,CORESITE REALTY REIT CORP,Equity,0.49,103.53,1449027.00,"150,017,765.31","150,017,765.31",Real Estate,B3T3VV8,US21870Q1058,New York Stock Exchange Inc.
HCSG,HEALTHCARE SERVICES INC,Equity,0.48,46.83,3096385.00,"145,003,709.55","145,003,709.55",Industrials,2417619,US4219061086,NASDAQ
SR,SPIRE INC,Equity,0.47,69.75,2046368.00,"142,734,168.00","142,734,168.00",Utilities,BYXJQG9,US84857L1017,New York Stock Exchange Inc.
IART,INTEGRA LIFESCIENCES HOLDINGS CORP,Equity,0.46,54.51,2577993.00,"140,526,398.43","140,526,398.43",Health Care,2248693,US4579852082,NASDAQ
CHE,CHEMED CORP,Equity,0.46,204.53,681863.00,"139,461,439.39","139,461,439.39",Health Care,2190084,US16359R1032,New York Stock Exchange Inc.
PRA,PROASSURANCE CORP,Equity,0.45,60.8,2268836.00,"137,945,228.80","137,945,228.80",Financials,2612737,US74267C1062,New York Stock Exchange Inc.
STL,STERLING BAN,Equity,0.44,23.25,5780099.00,"134,387,301.75","134,387,301.75",Financials,BFNXVB8,US85917A1007,New York Stock Exchange Inc.
LITE,LUMENTUM HOLDINGS INC,Equity,0.44,57.05,2352675.00,"134,220,108.75","134,220,108.75",Information Technology,BYM9ZP2,US55024U1097,NASDAQ
JBT,JOHN BEAN TECHNOLOGIES CORP,Equity,0.43,98,1345705.00,"131,879,090.00","131,879,090.00",Industrials,B3BRJZ8,US4778391049,New York Stock Exchange Inc.
CACI,CACI INTERNATIONAL INC CLASS A,Equity,0.43,125.05,1037360.00,"129,721,868.00","129,721,868.00",Information Technology,2159267,US1271903049,New York Stock Exchange Inc.
BCO,BRINKS,Equity,0.42,67,1924153.00,"128,918,251.00","128,918,251.00",Industrials,2691305,US1096961040,New York Stock Exchange Inc.
NKTR,NEKTAR THERAPEUTICS,Equity,0.42,19.55,6575245.00,"128,546,039.75","128,546,039.75",Health Care,2454445,US6402681083,NASDAQ
ILG,ILG INC,Equity,0.41,27.49,4521528.00,"124,296,804.72","124,296,804.72",Consumer Discretionary,BYT3YH2,US44967H1014,NASDAQ
FFIN,FIRST FINANCIAL BANKSHARES INC,Equity,0.41,44.2,2808937.00,"124,155,015.40","124,155,015.40",Financials,2266026,US32020R1095,NASDAQ
B,BARNES GROUP INC,Equity,0.41,58.53,2119133.00,"124,032,854.49","124,032,854.49",Industrials,2080732,US0678061096,New York Stock Exchange Inc.
SIGI,SELECTIVE INSURANCE GROUP INC,Equity,0.41,50.05,2472626.00,"123,754,931.30","123,754,931.30",Financials,2766173,US8163001071,NASDAQ
EVR,EVERCORE PARTNERS A INC,Equity,0.4,70.5,1740592.00,"122,711,736.00","122,711,736.00",Financials,B1BHXZ2,US29977A1051,New York Stock Exchange Inc.
VAC,MARRIOTT VACATIONS WORLDWIDE CORP,Equity,0.4,117.75,1041757.00,"122,666,886.75","122,666,886.75",Consumer Discretionary,B45K9N8,US57164Y1073,New York Stock Exchange Inc.
SANM,SANMINA CORP,Equity,0.4,38.1,3214388.00,"122,468,182.80","122,468,182.80",Information Technology,B92RRW2,US8010561020,NASDAQ
EGP,EASTGROUP PROPERTIES REIT INC,Equity,0.4,83.8,1445414.00,"121,125,693.20","121,125,693.20",Real Estate,2455761,US2772761019,New York Stock Exchange Inc.
CMD,CANTEL MEDICAL CORP,Equity,0.4,77.91,1547968.00,"120,602,186.88","120,602,186.88",Health Care,2188153,US1380981084,New York Stock Exchange Inc.
FCFS,FIRSTCASH INC,Equity,0.39,58.3,2060050.00,"120,100,915.00","120,100,915.00",Financials,BZCG9B4,US33767D1054,New York Stock Exchange Inc.
GBCI,GLACIER BANCORP INC,Equity,0.39,36.61,3268213.00,"119,649,277.93","119,649,277.93",Financials,2370585,US37637Q1058,NASDAQ
MDCO,MEDICINES,Equity,0.38,38.01,3077738.00,"116,984,821.38","116,984,821.38",Health Care,2616773,US5846881051,NASDAQ
CBU,COMMUNITY BANK SYSTEM INC,Equity,0.38,55.77,2087517.00,"116,420,823.09","116,420,823.09",Financials,2222062,US2036071064,New York Stock Exchange Inc.
